"GC-GM"|Yes|"76046537"|"140888450"
"SC"|No |"76046537"|"140888451"
"GM"|No |"76046537"|"140888452"
"CL"|Yes|"76046462"|"140888290"
"GP-GM"|Yes|"76046561"|"140888500"
"GC-GM"|No |"76046561"|"140888501"
"GP"|No |"76046561"|"140888502"
"GM"|Yes|"76046341"|"140888044"
"SC-SM"|No |"76046341"|"140888045"
"GC-GM"|No |"76046330"|"140888023"
"GC"|Yes|"76046330"|"140888024"
"GC-GM"|No |"76046373"|"140888111"
"GC"|Yes|"76046373"|"140888112"
"GW"|Yes|"76046352"|"140888067"
"GP-GC"|No |"76046352"|"140888068"
"GW"|No |"76046425"|"140888214"
"GC-GM"|No |"76046425"|"140888213"
"GP-GM"|Yes|"76046425"|"140888212"
"GC-GM"|No |"76046415"|"140888194"
"GC"|Yes|"76046415"|"140888195"
"GC"|No |"76046550"|"140888478"
"GC-GM"|Yes|"76046550"|"140888479"
"GP"|No |"76046550"|"140888480"
"GP-GM"|Yes|"76046293"|"140887945"
"GC-GM"|No |"76046293"|"140887946"
"GW"|No |"76046293"|"140887947"
"GP-GM"|Yes|"76046351"|"140888064"
"GC-GM"|No |"76046351"|"140888065"
"GW"|No |"76046351"|"140888066"
"GC-GM"|No |"76046570"|"140888519"
"MH"|No |"76046570"|"140888518"
"GM"|Yes|"76046570"|"140888517"
"GM"|Yes|"76046430"|"140888223"
"SC-SM"|No |"76046430"|"140888224"
"GC"|Yes|"76046604"|"140888592"
"GP-GC"|No |"76046604"|"140888593"
"PT"|Yes|"76046356"|"140888074"
"PT"|Yes|"76046546"|"140888469"
"PT"|Yes|"76046660"|"140888709"
"PT"|Yes|"76046290"|"140887941"
"GM"|Yes|"76046321"|"140888003"
"SC-SM"|No |"76046321"|"140888004"
"SM"|Yes|"76046509"|"140888388"
"GM"|No |"76046509"|"140888389"
"CL"|Yes|"76046406"|"140888179"
"PT"|Yes|"76046530"|"140888435"
"GC-GM"|Yes|"76046582"|"140888546"
"GW"|No |"76046582"|"140888545"
"GC"|No |"76046582"|"140888544"
"GM"|Yes|"76046397"|"140888158"
"SC-SM"|No |"76046397"|"140888159"
"GC-GM"|Yes|"76046671"|"140888733"
"SM"|No |"76046671"|"140888734"
"GP-GM"|No |"76046671"|"140888735"
"GC-GM"|No |"76046303"|"140887967"
"CH"|No |"76046303"|"140887966"
"GC"|Yes|"76046303"|"140887965"
"PT"|Yes|"76046493"|"140888352"
"GP-GC"|No |"76046332"|"140888027"
"GC"|Yes|"76046332"|"140888028"
"GC-GM"|Yes|"76046504"|"140888374"
"GP-GM"|No |"76046504"|"140888375"
"GM"|No |"76046504"|"140888376"
"CL"|Yes|"76046419"|"140888203"
"CL"|Yes|"76046384"|"140888133"
"CH"|No |"76046384"|"140888134"
"GM"|Yes|"76046353"|"140888069"
"GC"|Yes|"76046535"|"140888445"
"GP-GC"|No |"76046535"|"140888446"
"CL"|Yes|"76046556"|"140888490"
"ML"|Yes|"76046314"|"140887989"
"OH"|No |"76046314"|"140887990"
"CH"|Yes|"76046498"|"140888361"
"GP-GC"|No |"76046498"|"140888362"
"SM"|Yes|"76046395"|"140888154"
"GM"|No |"76046395"|"140888155"
"CL"|Yes|"76046345"|"140888055"
"GM"|Yes|"76046279"|"140887919"
"SC-SM"|No |"76046279"|"140887920"
"GC-GM"|Yes|"76046578"|"140888533"
"GC"|No |"76046578"|"140888534"
"GP-GM"|No |"76046578"|"140888535"
"GW"|Yes|"76046426"|"140888215"
"GP-GC"|No |"76046426"|"140888216"
"SC-SM"|No |"76046645"|"140888677"
"GM"|Yes|"76046645"|"140888678"
"CH"|Yes|"76046301"|"140887961"
"GP-GC"|No |"76046301"|"140887962"
"GC-GM"|Yes|"76046323"|"140888007"
"GP-GM"|No |"76046323"|"140888008"
"GM"|No |"76046323"|"140888009"
"CH"|Yes|"76046520"|"140888412"
"GP-GC"|No |"76046520"|"140888413"
"GC-GM"|Yes|"76046439"|"140888243"
"GM"|No |"76046439"|"140888244"
"GW"|No |"76046439"|"140888245"
"CL"|Yes|"76046408"|"140888182"
"CH"|No |"76046408"|"140888183"
"PT"|Yes|"76046494"|"140888353"
"GC"|Yes|"76046567"|"140888510"
"GC-GM"|No |"76046567"|"140888511"
"GP-GM"|No |"76046482"|"140888331"
