45|55|90|50|66|100|"Wet"|"266315014"|"169468819"
0|0|15|50|79|100|"Wet"|"266314930"|"169468789"
45|65|90|50|89|100|"Wet"|"266314848"|"169468766"
0|0|15|50|79|100|"Wet"|"266314534"|"169468663"
0|0|15|50|79|100|"Wet"|"266315003"|"169468814"
45|65|90|50|89|100|"Wet"|"266315088"|"169468844"
0|0|0|200|200|200|"Wet"|"266314443"|"169468623"
0|0|15|50|79|100|"Wet"|"266315076"|"169468839"
0|0|15|50|79|100|"Wet"|"266315109"|"169468848"
45|65|90|50|89|100|"Wet"|"266314800"|"169468751"
45|65|90|50|89|100|"Wet"|"266315097"|"169468845"
40|45|60|200|200|200|"Wet"|"266314822"|"169468756"
40|45|60|200|200|200|"Wet"|"266314748"|"169468733"
45|55|90|50|66|100|"Wet"|"266314498"|"169468648"
45|65|90|50|89|100|"Wet"|"266314726"|"169468729"
40|45|60|200|200|200|"Wet"|"266314556"|"169468673"
40|45|60|200|200|200|"Wet"|"266314829"|"169468757"
0|0|15|50|79|100|"Wet"|"266314982"|"169468807"
0|0|15|50|79|100|"Wet"|"266314763"|"169468739"
0|0|0|200|200|200|"Wet"|"266314452"|"169468632"
40|45|60|200|200|200|"Wet"|"266314774"|"169468747"
0|0|0|200|200|200|"Wet"|"266314454"|"169468634"
45|55|90|50|66|100|"Wet"|"266314497"|"169468647"
0|0|0|200|200|200|"Wet"|"266314441"|"169468621"
40|45|60|200|200|200|"Wet"|"266314918"|"169468786"
0|0|15|50|79|100|"Wet"|"266314660"|"169468706"
40|45|60|200|200|200|"Wet"|"266314818"|"169468752"
0|0|15|50|79|100|"Wet"|"266315004"|"169468815"
40|45|60|200|200|200|"Wet"|"266314855"|"169468768"
0|0|0|200|200|200|"Wet"|"266314508"|"169468652"
45|65|90|50|89|100|"Wet"|"266315098"|"169468846"
0|0|15|50|79|100|"Wet"|"266314715"|"169468724"
45|65|90|50|89|100|"Wet"|"266314992"|"169468811"
45|65|90|50|89|100|"Wet"|"266314545"|"169468668"
40|45|60|200|200|200|"Wet"|"266314749"|"169468734"
45|65|90|50|89|100|"Wet"|"266314582"|"169468678"
0|0|15|50|79|100|"Wet"|"266314874"|"169468777"
40|45|60|200|200|200|"Wet"|"266315046"|"169468830"
