"Silty clay loam"||"153962694"|"156593287"
"Loam"||"153962304"|"156592651"
"Loamy sand"||"153962337"|"156592388"
"Silt loam"||"153962095"|"156592988"
|"Slightly decomposed plant material"|"153962072"|"156592967"
|"Slightly decomposed plant material"|"153962469"|"156592538"
"Coarse sand"||"153961807"|"156592568"
"Coarse sandy loam"||"153961781"|"156592721"
"Sandy loam"||"153962432"|"156592539"
"Coarse sand"||"153962271"|"156592771"
"Loamy sand"||"153962370"|"156592668"
|"Slightly decomposed plant material"|"153962598"|"156593252"
"Silt loam"||"153962428"|"156592547"
"Loam"||"153962417"|"156592412"
"Clay loam"||"153961818"|"156592427"
"Loam"||"153962701"|"156593174"
"Loam"||"153962221"|"156592635"
"Sandy loam"||"153962709"|"156593279"
"Loamy sand"||"153961870"|"156592880"
"Loam"||"153962365"|"156592795"
"Loamy sand"||"153962624"|"156592913"
|"Slightly decomposed plant material"|"153962542"|"156593236"
"Coarse sandy loam"||"153962146"|"156593329"
"Sandy loam"||"153962232"|"156592634"
"Silty clay"||"153961899"|"156592458"
"Clay loam"||"153962391"|"156592403"
"Sandy loam"||"153962147"|"156592984"
"Loam"||"153962094"|"156593220"
"Sandy loam"||"153962263"|"156592359"
"Silt loam"||"153962284"|"156592654"
"Coarse sand"||"153961862"|"156592858"
"Coarse sandy loam"||"153961990"|"156593302"
"Coarse sand"||"153961737"|"156592487"
"Sandy loam"||"153962683"|"156593155"
"Fine sandy loam"||"153961978"|"156593071"
"Loamy sand"||"153962073"|"156593197"
"Sandy loam"||"153962313"|"156592506"
"Clay loam"||"153962105"|"156593103"
"Sandy loam"||"153962324"|"156592384"
"Sandy loam"||"153962197"|"156593111"
|"Slightly decomposed plant material"|"153962584"|"156592922"
"Silt loam"||"153962646"|"156593276"
"Sandy loam"||"153962657"|"156593265"
"Sandy loam"||"153962063"|"156593198"
"Clay loam"||"153961999"|"156593304"
"Loamy sand"||"153962243"|"156592355"
"Coarse sandy loam"||"153961844"|"156592432"
"Loam"||"153962738"|"156593056"
"Coarse sandy loam"||"153961759"|"156592713"
"Silt loam"||"153962115"|"156592992"
"Loam"||"153961989"|"156593301"
